Date,Open,High,Low,Close,Volume
2026-04-23,24202.35,24310.2,24134.8,24173.05,467549860.0
2026-04-24,24100.55,24206.0,23813.65,23897.95,438433486.0
2026-04-27,23945.45,24130.7,23936.2,24092.7,430297937.0
2026-04-28,24049.9,24181.8,23957.05,23995.7,554134344.0
2026-04-29,24096.9,24334.7,24059.95,24177.65,531122966.0
2026-04-30,23996.95,24087.45,23796.85,23997.55,505520648.0
2026-05-04,24063.55,24290.2,24004.75,24119.3,419069793.0
2026-05-05,24052.6,24081.7,23882.05,24032.8,363297728.0
2026-05-06,24171.0,24356.5,23997.9,24330.95,429190144.0
2026-05-07,24398.5,24482.1,24284.0,24326.65,440621691.0
2026-05-08,24233.65,24253.8,24126.65,24176.15,335887188.0
2026-05-11,23970.1,23997.45,23799.1,23815.85,390108343.0
2026-05-12,23722.6,23757.55,23348.4,23379.55,447518189.0
2026-05-13,23362.45,23582.95,23262.55,23412.6,415359044.0
2026-05-14,23530.25,23777.2,23426.55,23689.6,428735424.0
2026-05-15,23731.4,23839.3,23610.3,23643.5,408864566.0
2026-05-18,23482.2,23695.65,23317.1,23649.95,391968426.0
2026-05-19,23675.3,23782.3,23587.2,23618.0,441953184.0
2026-05-20,23457.25,23690.9,23397.3,23659.0,344050591.0
2026-05-21,23830.05,23859.9,23596.6,23654.7,348183907.0
2026-05-22,23671.2,23835.65,23671.0,23719.3,336108649.0
2026-05-25,23940.25,24054.45,23922.85,24031.7,351224048.0
2026-05-26,24004.1,24089.8,23885.45,23913.7,387932940.0
2026-05-27,23880.35,23983.2,23858.25,23907.15,531572650.0
2026-05-29,23902.15,24002.8,23484.75,23547.75,1198023438.0
2026-06-01,23654.5,23733.7,23357.95,23382.6,421691204.0
2026-06-02,23229.15,23556.95,23229.15,23483.55,511852817.0
2026-06-03,23415.95,23459.65,23151.5,23405.6,450089851.0
2026-06-04,23282.45,23465.3,23247.3,23416.55,412505524.0
2026-06-05,23478.95,23516.35,23282.65,23366.7,366208223.0
2026-06-08,23080.7,23267.3,23070.15,23123.0,375730763.0
2026-06-09,23259.05,23279.4,23104.45,23242.1,402552937.0
2026-06-10,23233.95,23425.35,23184.6,23214.95,380030627.0
2026-06-11,23104.4,23327.45,23072.05,23161.6,362996956.0
2026-06-12,23412.55,23645.35,23313.9,23622.9,351944432.0
2026-06-15,23984.85,24011.4,23817.8,23853.9,398913735.0
2026-06-16,23923.9,24002.6,23888.2,23989.15,327307262.0
2026-06-17,24044.5,24108.2,23969.7,24085.7,352665809.0
2026-06-18,24073.8,24189.25,24036.95,24168.0,339988612.0
2026-06-19,23991.2,24047.2,23901.9,24013.1,447858148.0
2026-06-22,24106.6,24168.05,24073.15,24102.9,252821156.0
2026-06-23,24071.3,24135.5,23784.95,23824.1,340090069.0
2026-06-24,23795.8,24090.05,23789.25,24021.65,395578738.0
2026-06-25,24125.85,24261.6,24039.0,24056.0,448752143.0
2026-06-29,24061.75,24120.0,23924.55,23946.25,588498045.0
2026-06-30,24032.05,24035.55,23829.2,23865.75,449044753.0
2026-07-01,23897.65,24049.9,23895.1,24005.85,352148975.0
2026-07-02,24062.2,24194.55,24058.8,24175.7,372941283.0
2026-07-03,24375.65,24378.15,24252.35,24270.85,326634751.0
